OBJECTID,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN
712,13,44,14,1
713,22,5,88,88
714,3,54,88,88
715,19,54,88,88
716,18,51,88,88
717,8,3,88,88
718,14,0,88,88
719,9,41,9,52
720,99,99,88,88
721,10,6,11,7
722,1,10,99,99
723,16,55,18,3
724,14,34,88,88
725,6,21,7,35
726,15,40,99,99
727,1,18,88,88
728,15,13,88,88
729,15,10,15,58
730,3,56,4,31
731,19,0,99,99
732,22,16,23,7
733,3,50,88,88
734,2,7,2,55
735,2,59,88,88
736,12,24,88,88
737,16,25,88,88
738,20,49,21,23
739,18,34,88,88
740,7,42,8,1
741,19,0,19,24
742,20,16,88,88
743,2,40,3,15
744,13,44,14,16
745,15,18,15,57
746,23,10,99,99
747,10,43,88,88
748,17,56,99,99
749,21,2,88,88
750,14,5,88,88
751,20,48,88,88
752,8,42,88,88
753,1,23,88,88
754,20,47,21,41
755,0,53,1,27
756,7,57,99,99
757,4,56,4,59
758,20,46,88,88
759,22,43,88,88
760,2,25,88,88
761,2,12,2,25
762,10,32,11,0
763,22,38,88,88
764,15,28,88,88
765,5,42,88,88
766,12,50,13,14
767,15,45,16,8
768,9,20,99,99
769,18,52,88,88
770,22,49,99,99
771,0,10,0,54
772,14,55,88,88
773,21,59,88,88
774,8,27,88,88
775,1,27,2,7
776,23,50,99,99
777,5,38,6,0
778,20,33,21,0
779,21,16,88,88
780,16,49,17,33
781,4,15,5,27
782,23,45,88,88
783,11,14,88,88
784,13,11,13,41
785,17,54,99,99
786,20,37,21,35
787,22,50,23,36
788,14,15,14,26
789,12,22,12,37
790,22,28,23,16
791,0,32,88,88
792,2,0,88,88
793,23,53,0,28
794,22,27,88,88
795,2,41,88,88
796,8,38,88,88
797,20,4,88,88
798,1,48,2,21
799,22,12,88,88
800,15,53,99,99
801,13,40,88,88
802,17,39,88,88
803,1,26,88,88
804,18,48,18,50
805,18,50,99,99
806,14,24,88,88
807,23,45,88,88
808,17,5,88,88
809,2,25,3,13
810,23,58,0,2
811,13,53,88,88
812,1,9,88,88
813,18,15,19,22
814,14,33,88,88
815,7,24,8,24
816,14,22,14,38
817,2,30,88,88
818,12,37,12,43
819,17,43,88,88
820,20,15,88,88
821,18,45,99,99
822,15,32,88,88
823,7,45,8,51
824,19,57,20,14
825,1,50,2,34
826,0,15,88,88
827,18,7,88,88
828,3,32,3,56
829,7,36,8,24
830,10,55,11,18
831,18,22,19,15
832,6,15,88,88
833,10,55,88,88
834,17,5,17,59
835,6,49,88,88
836,11,23,99,99
837,4,40,5,10
838,0,25,1,27
839,20,37,88,88
840,18,1,19,0
841,10,29,10,53
842,17,17,88,88
843,16,54,17,39
844,99,99,99,99
845,1,34,1,56
846,17,43,18,47
847,19,30,88,88
848,18,47,88,88
849,6,32,99,99
850,21,57,88,88
851,17,37,18,19
852,12,17,99,99
853,10,58,11,19
854,20,45,99,99
855,18,38,88,88
856,21,14,88,88
857,19,42,20,25
858,16,15,16,35
859,0,4,88,88
860,18,51,99,99
861,7,39,8,3
862,10,56,11,47
863,17,42,88,88
864,21,53,88,88
865,14,0,88,88
866,20,27,20,53
867,12,29,12,51
868,11,51,88,88
869,13,22,99,99
870,14,53,16,4
871,18,6,88,88
872,16,38,17,0
873,0,9,88,88
874,4,43,5,28
875,13,58,14,36
876,1,35,88,88
877,8,15,9,42
878,18,34,99,99
879,8,11,88,88
880,17,47,88,88
