OBJECTID,ST_CASE,FATALS,PERSONS,VE_TOTAL,VE_FORMS,PEDS,PERNOTMVIT,SCH_BUS,RAIL,WRK_ZONE
18041,240121,1,1,1,1,0,0,0,0000000,0
18042,240122,1,4,4,4,0,0,0,0000000,0
18043,240123,1,1,1,1,1,1,0,0000000,0
18044,240124,1,1,1,1,0,0,0,0000000,0
18045,240125,1,1,1,1,0,0,0,0000000,0
18046,240126,1,3,2,2,0,0,0,0000000,0
18047,240127,1,2,2,2,0,0,0,0000000,4
18048,240128,2,2,2,2,0,0,0,0000000,0
18049,240129,1,1,1,1,1,1,0,0000000,0
18050,240130,1,2,2,2,0,0,0,0000000,0
18051,240131,1,5,2,2,0,0,0,0000000,0
18052,240132,1,1,1,1,2,2,0,0000000,0
18053,240133,1,1,1,1,0,0,0,0000000,0
18054,240136,1,1,1,1,0,0,0,0000000,0
18055,240138,1,3,1,1,0,0,0,0000000,0
18056,240139,1,10,5,5,0,0,0,0000000,0
18057,240140,1,1,3,1,2,2,0,0000000,0
18058,240141,1,2,2,2,0,0,0,0000000,0
18059,240142,1,1,1,1,0,0,0,0000000,0
18060,240143,1,1,1,1,1,1,0,0000000,4
18061,240144,1,2,2,2,1,1,0,0000000,0
18062,240145,1,1,1,1,1,1,0,0000000,0
18063,240146,1,2,2,2,0,0,0,0000000,1
18064,240147,1,2,2,2,0,0,0,0000000,0
18065,240148,2,3,2,2,0,0,0,0000000,0
18066,240149,1,1,1,1,0,0,0,0000000,0
18067,240150,1,1,1,1,0,0,0,0000000,0
18068,240151,1,3,2,2,0,0,0,0000000,0
18069,240152,2,3,2,2,0,0,0,0000000,0
18070,240153,1,2,1,1,1,1,0,0000000,0
18071,240154,1,3,3,3,0,0,0,0000000,0
18072,240155,2,2,1,1,0,0,0,0000000,0
18073,240156,1,2,2,2,0,0,0,0000000,0
18074,240157,1,2,2,2,0,0,0,0000000,0
18075,240158,1,6,2,2,0,0,0,0000000,0
18076,240159,2,2,2,2,0,0,0,0000000,0
18077,240160,1,2,2,2,0,0,0,0000000,0
18078,240161,1,1,1,1,0,0,0,0000000,0
18079,240162,1,1,1,1,0,0,0,0000000,0
18080,240163,1,1,1,1,0,0,0,0000000,0
18081,240164,1,1,1,1,0,0,0,0000000,0
18082,240165,1,1,1,1,1,1,0,0000000,0
18083,240166,1,1,1,1,0,0,0,0000000,0
18084,240167,1,1,1,1,0,0,0,0000000,0
18085,240168,1,2,2,2,0,0,0,0000000,0
18086,240169,1,2,1,1,2,2,0,0000000,0
18087,240170,1,2,2,2,0,0,0,0000000,0
18088,240171,1,3,2,2,0,0,0,0000000,0
18089,240172,1,1,1,1,0,0,0,0000000,0
18090,240173,1,1,2,1,1,1,0,0000000,0
18091,240174,1,1,1,1,0,0,0,0000000,0
18092,240175,1,2,1,1,0,0,0,0000000,0
18093,240176,1,1,1,1,1,1,0,0000000,0
18094,240177,1,6,2,2,0,0,0,0000000,0
18095,240178,1,1,1,1,1,1,0,0000000,0
18096,240179,1,2,2,2,0,0,0,0000000,0
18097,240180,1,6,3,3,0,0,0,0000000,0
18098,240181,1,2,2,2,0,0,0,0000000,4
18099,240182,1,1,1,1,1,1,0,0000000,0
18100,240183,1,1,1,1,1,1,0,0000000,0
18101,240184,1,3,3,1,1,3,0,0000000,4
18102,240185,1,1,2,1,2,2,0,0000000,0
18103,240186,1,2,1,1,0,0,0,0000000,0
18104,240187,1,5,3,3,0,0,0,0000000,0
18105,240188,1,1,1,1,1,1,0,0000000,0
18106,240189,1,2,2,2,0,0,0,0000000,0
18107,240190,1,2,2,2,0,0,0,0000000,0
18108,240191,2,2,1,1,0,0,0,0000000,0
18109,240192,1,1,1,1,0,0,0,0000000,0
18110,240193,1,3,2,2,0,0,0,0000000,0
18111,240194,1,1,1,1,1,1,0,0000000,0
18112,240195,1,1,1,1,1,1,0,0000000,0
18113,240196,1,1,1,1,1,1,0,0000000,0
18114,240197,1,2,2,2,0,0,0,0000000,0
18115,240198,1,2,2,2,0,0,0,0000000,0
18116,240199,1,1,1,1,0,0,0,0000000,0
18117,240200,1,3,3,3,1,1,0,0000000,0
